scenario.json initial (0.0, 30.200000000000145, 0.0, 0.0, 10.0)
50 (1.0, 38.78751048484759, 0.0, 0.0, 5.883410590909862) [38.78751048484759, 0.0, 0.0, 5.883410590909862, -7.502910102741604, 0.0, 0.0, 38.78753558304608]
75 (1.5, 40.75264039966955, 0.0, 0.0, 1.9570671975039975) [40.75264039966955, 0.0, 0.0, 1.9570671975039975, -7.900978599919504, 0.0, 0.0, 40.75260112016045]
100 (2.0, 40.97525037611817, 0.0, 0.0, 0.2458490241728704) [40.97525037611817, 0.0, 0.0, 0.2458490241728704, -1.9643832159248777, 0.0, 0.0, 40.97527631545198]
150 (3.0, 39.08785568852357, 0.0, 0.0, 3.666935496404136) [39.08785568852357, 0.0, 0.0, 3.666935496404136, -3.5785918567974404, 0.0, 0.0, 39.08786039569438]
200 (4.0, 33.633152832410495, 0.0, 0.0, 7.240653888012612) [33.633152832410495, 0.0, 0.0, 7.240653888012612, -3.56771286286393, 0.0, 0.0, 33.6331248449258]
cpnco-dartout.episodes.json initial (0.0, 147.2495914629838, 116.30089247621085, 1.4282509708812996, 6.11094948610767)
50 (1.0, 147.92754345014617, 120.95834637401856, 1.4264164955486238, 2.0076557750807624) [147.92754345014617, 120.95834637401856, 1.4264164955486238, 2.0076557750807624, -7.504538129954917, 0.002744373370946812, -9.77284978276316e-07, 93.27254915185702]
75 (1.5, 147.96202782328666, 121.19552918616539, 1.4264163653719522, 0.24584902417287247) [147.96202782328666, 121.19552918616539, 1.4264163653719522, 0.24584902417287247, -1.9643832159248784, 0.002790624035002744, 6.275306919933943e-09, 93.51224118326235]
100 (2.0, 147.88988944473195, 120.69936320848363, 1.4264163658965956, 1.87688161766114) [147.88988944473195, 120.69936320848363, 1.4264163658965956, 1.87688161766114, -3.5813525794970196, 0.002738256398254793, 2.4122293051931365e-10, 93.01088249276461]
150 (3.0, 147.36233885529097, 117.07088330225011, 1.4264163659202655, 5.455157017452282) [147.36233885529097, 117.07088330225011, 1.4264163659202655, 5.455157017452282, -3.5740422554124702, 0.011164304763167758, 2.5413005033669833e-13, 89.34424265199047]
200 (4.0, 146.32064837204078, 109.90616192202582, 1.4264163659202824, 9.022539252681074) [146.32064837204078, 109.90616192202582, 1.4264163659202824, 9.022539252681074, -3.559616298203165, -0.021089840210425544, 2.220446049250313e-16, 82.10427640119866]
