# Compiled uscn_e6e24608e08c48faa846f525, actor vehicle-mu2h6tvn-p33bko3h; x,z,yaw,speed at 50 Hz. Wheelbase assumption 2.7 m.
761.9911,-1814.1028,-2.143992,8.05560001401522
761.9037,-1813.9675,-2.144001,8.05099997588486
761.8164,-1813.8323,-2.144046,8.04319967775077
761.7291,-1813.6973,-2.144136,8.03230048122908
761.6419,-1813.5626,-2.144275,8.01830038498216
761.5547,-1813.4281,-2.144463,8.00109974493813
761.4677,-1813.294,-2.144698,7.98070017266662
761.3809,-1813.1604,-2.144976,7.95720036347521
761.2943,-1813.0272,-2.145293,7.93050068389437
761.2079,-1812.8945,-2.145642,7.90080056576326
761.1218,-1812.7624,-2.146019,7.86779951744737
761.036,-1812.6309,-2.146416,7.83180013044543
760.9505,-1812.5001,-2.146827,7.79260044752623
760.8655,-1812.3701,-2.147246,7.75020008049405
760.7808,-1812.2407,-2.147668,7.70469972136001
760.6966,-1812.1122,-2.148086,7.65610024760753
760.613,-1811.9846,-2.148495,7.60439982289438
760.5298,-1811.8579,-2.148891,7.54949963916848
760.4473,-1811.7322,-2.14927,7.49149997700494
760.3654,-1811.6075,-2.149628,7.43039983726004
760.2841,-1811.4838,-2.149962,7.36609965202331
760.2036,-1811.3612,-2.15027,7.29879986295644
760.1238,-1811.2398,-2.150549,7.22820004621911
760.0447,-1811.1197,-2.150799,7.15459980722116
759.9665,-1811.0007,-2.151019,7.07839978283298
759.8892,-1810.8831,-2.151209,7.00359983676887
759.8126,-1810.7667,-2.151368,6.93080004262517
759.7369,-1810.6514,-2.151499,6.85989967507171
759.6619,-1810.5373,-2.151601,6.79409990697591
759.5876,-1810.4243,-2.151676,6.73170005138739
759.514,-1810.3123,-2.151726,6.67239956173227
759.4411,-1810.2012,-2.151752,6.6164002416348
759.3688,-1810.091,-2.151757,6.56360011179787
759.297,-1809.9817,-2.151742,6.5139996680505
759.2258,-1809.8731,-2.151709,6.46760046048432
759.1551,-1809.7653,-2.15166,6.42440017691994
759.0849,-1809.6582,-2.151597,6.38429970906763
759.0152,-1809.5517,-2.151523,6.34739989499732
758.9458,-1809.4458,-2.151438,6.31370017485927
758.8768,-1809.3404,-2.151346,6.28320011643629
758.8081,-1809.2355,-2.151247,6.25579958785486
758.7398,-1809.131,-2.151143,6.23159975848778
758.6717,-1809.0269,-2.151036,6.21059971704545
758.6038,-1808.9231,-2.150928,6.19269978766329
758.5361,-1808.8196,-2.150818,6.17800017320047
758.4686,-1808.7162,-2.15071,6.16650012519719
758.4012,-1808.6131,-2.150603,6.15809984191788
758.3338,-1808.51,-2.150498,6.15290024274163
758.2665,-1808.407,-2.150397,6.15090039588774
